" Time ","",""," Magnitude ",""," EventLocationName"
"2019-04-02T16:07:43.6Z","","","3.2","","WESTERN TURKEY"
"2019-04-12T13:03:47.8Z","","","4","","WESTERN TURKEY"
"2019-04-28T14:49:25.1Z","","","3.4","","NEAR THE COAST OF WESTERN TURKEY"
"2019-04-29T18:02:43.3Z","","","4.4","","NEAR THE COAST OF WESTERN TURKEY"
"2019-04-29T18:39:50.8Z","","","3.8","","NEAR THE COAST OF WESTERN TURKEY"
"2019-04-30T06:51:27.5Z","","","3.1","","NEAR THE COAST OF WESTERN TURKEY"
"2019-04-30T14:52:25.1Z","","","3.4","","NEAR THE COAST OF WESTERN TURKEY"
"2019-04-30T18:22:35.7Z","","","3.6","","BULGARIA"
"2019-05-03T18:04:49.2Z","","","3.2","","AEGEAN SEA"
"2019-05-08T02:50:40.1Z","","","3.6","","WESTERN TURKEY"
"2019-05-08T10:18:13.4Z","","","3.1","","WESTERN TURKEY"
"2019-05-08T19:51:27.7Z","","","4","","BLACK SEA"
"2019-05-09T15:56:24.1Z","","","3.2","","WESTERN TURKEY"
"2019-05-09T16:05:29.1Z","","","3.5","","WESTERN TURKEY"
"2019-05-10T16:53:12.5Z","","","3","","NEAR THE COAST OF WESTERN TURKEY"
"2019-05-11T06:46:02.2Z","","","3","","AEGEAN SEA"
"2019-05-12T22:23:08.9Z","","","4.1","","WESTERN TURKEY"
"2019-05-12T22:24:09.0Z","","","4.1","","WESTERN TURKEY"
"2019-05-18T10:06:30.4Z","","","3","","WESTERN TURKEY"
"2019-05-19T06:44:00.2Z","","","3.5","","NEAR THE COAST OF WESTERN TURKEY"
"2019-05-19T18:28:08.9Z","","","3.5","","AEGEAN SEA"
"2019-05-20T20:45:25.2Z","","","3.1","","WESTERN TURKEY"
"2019-05-21T05:23:34.5Z","","","3.7","","WESTERN TURKEY"
"2019-05-21T05:24:35.6Z","","","3.3","","WESTERN TURKEY"
"2019-05-21T13:17:38.1Z","","","3.7","","WESTERN TURKEY"
"2019-05-24T20:34:44.0Z","","","3.4","","NEAR THE COAST OF WESTERN TURKEY"
"2019-05-25T12:13:35.2Z","","","4.1","","WESTERN TURKEY"
"2019-05-26T02:38:55.2Z","","","3","","BLACK SEA"
"2019-06-02T13:08:47.7Z","","","4.6","","WESTERN TURKEY"
"2019-06-03T18:13:08.1Z","","","3.7","","WESTERN TURKEY"
"2019-06-06T03:24:12.7Z","","","3.3","","AEGEAN SEA"
"2019-06-06T03:45:48.6Z","","","3.1","","WESTERN TURKEY"
"2019-06-06T16:05:45.3Z","","","3","","WESTERN TURKEY"
"2019-06-06T17:14:18.9Z","","","3.6","","AEGEAN SEA"
"2019-06-07T07:29:59.8Z","","","3","","WESTERN TURKEY"
"2019-06-07T19:57:44.3Z","","","3.1","","WESTERN TURKEY"
"2019-06-09T05:45:19.1Z","","","3.1","","WESTERN TURKEY"
"2019-06-12T22:44:50.8Z","","","3.5","","WESTERN TURKEY"
"2019-06-13T19:16:18.0Z","","","3","","AEGEAN SEA"
"2019-06-14T10:00:08.3Z","","","3.2","","WESTERN TURKEY"
"2019-06-14T15:11:43.9Z","","","3.3","","WESTERN TURKEY"
"2019-06-17T04:47:30.5Z","","","4.1","","NEAR THE COAST OF WESTERN TURKEY"
"2019-06-21T03:41:23.2Z","","","3.3","","WESTERN TURKEY"
